endpoint	operation_id	param_value_tested	http_status	n_results	result_shape	notes	url
/genes/pathways	query.pathwaysFromGenes	verbose=true	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/pathways?verbose=true&page=0
/genes/proteins	query.proteinsFromGenes	verbose=true	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/proteins?verbose=true&page=0
/genes/transcripts	query.transcriptsFromGenes	verbose=true	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/transcripts?verbose=true&page=0
/genes/transcripts	query.transcriptsFromGenes	organism=Homo sapiens	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/transcripts?organism=Homo+sapiens&page=0
/genes/variants	query.variantsFromGenes	verbose=true	400			"{""message"":""At least one of these properties must be defined: gene_id, hgnc_id, gene_name, region, alias, method, files_fileset"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/variants?verbose=true&page=0
/genes/variants	query.variantsFromGenes	source=AFGR	400			"{""message"":""At least one of these properties must be defined: gene_id, hgnc_id, gene_name, region, alias, method, files_fileset"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/variants?source=AFGR&page=0
/genes/variants	query.variantsFromGenes	label=eQTL	400			"{""message"":""At least one of these properties must be defined: gene_id, hgnc_id, gene_name, region, alias, method, files_fileset"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/variants?label=eQTL&page=0
/genes/variants	query.variantsFromGenes	effect_size=lte:0.001	400			"{""message"":""At least one of these properties must be defined: gene_id, hgnc_id, gene_name, region, alias, method, files_fileset"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/variants?effect_size=lte%3A0.001&page=0
/genes/variants	query.variantsFromGenes	log10pvalue=gte:2	400			"{""message"":""At least one of these properties must be defined: gene_id, hgnc_id, gene_name, region, alias, method, files_fileset"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/variants?log10pvalue=gte%3A2&page=0
/genes/variants	query.variantsFromGenes	biosample_term=EFO_0005292	400			"{""message"":""At least one of these properties must be defined: gene_id, hgnc_id, gene_name, region, alias, method, files_fileset"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/variants?biosample_term=EFO_0005292&page=0
